==================================================================
fastsimcoal started on 26/06/2025 at 14:57:49

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
746	1	data unknown	563.423	0	0
747	1	data unknown	979.923	0	0
748	1	data unknown	709.911	0	0
749	1	data unknown	690.155	0	0
750	1	data unknown	421.982	0	0
751	1	data unknown	1971.4	0	0
752	1	data unknown	1262.16	0	0
753	1	data unknown	1618.13	0	0
754	1	data unknown	1275.8	0	0
755	1	data unknown	526.134	0	0
756	1	data unknown	887.436	0	0
757	1	data unknown	2087.11	0	0
758	1	data unknown	1174.12	0	0
759	1	data unknown	1230.8	0	0
760	1	data unknown	1145.32	0	0
761	1	data unknown	1691.02	0	0
762	1	data unknown	722.397	0	0
763	1	data unknown	3410.04	0	0
764	1	data unknown	1497.93	0	0
765	1	data unknown	927.795	0	0
766	1	data unknown	1074	0	0
767	1	data unknown	1839.82	0	0
768	1	data unknown	686.863	0	0
769	1	data unknown	1212.09	0	0
770	1	data unknown	1597.74	0	0
771	1	data unknown	3961.88	0	0
772	1	data unknown	1209.22	0	0
